model,seed,fold_id,train_rmse,test_rmse,train_r2,test_r2
CatBoost,32,1,2.1247239375887412,5.723599555855444,0.9985582875948742,0.9891692143472203
CatBoost,32,2,2.3248001185742493,16.07770690523179,0.9981131414085915,0.9364990951259905
CatBoost,32,3,2.3800123094318706,5.616329542215131,0.9982332161789856,0.9884231566140671
CatBoost,32,4,2.437495186367671,4.136459874765769,0.9981524284272097,0.9936035978873499
CatBoost,32,5,2.340277424406023,4.756489041867864,0.9982507254632524,0.9925220919916763
XGBoost,32,1,0.9993830186776168,5.891117299001578,0.9996810390286618,0.9885259478709951
XGBoost,32,2,1.8422981348503193,14.784194722510449,0.9988150829728792,0.9463058406393254
XGBoost,32,3,1.5784749484244123,6.044876789076714,0.9992228579751371,0.9865890389968548
XGBoost,32,4,1.4574622826549157,4.071095841279041,0.99933944590817,0.9938041516478675
XGBoost,32,5,1.3855661602229314,4.624791731784052,0.9993868343406357,0.9929304547757034
LGBM,32,1,2.6123332447044483,6.924894971630025,0.9978206310033282,0.9841456712164445
LGBM,32,2,2.896024965441556,15.570127750449702,0.9970719889034656,0.9404452986364924
LGBM,32,3,2.5884924274080436,6.932762319650837,0.9979101322471345,0.9823600391962989
LGBM,32,4,3.262575879599282,5.0552419404895,0.9966899467519169,0.9904465107939403
LGBM,32,5,3.0035476033434003,5.828040174190653,0.9971186744722939,0.9887732981075363
RFR,32,1,2.447688723705958,5.897122079831869,0.9980866871513693,0.9885025450837045
RFR,32,2,2.2076906433414876,15.756047046996123,0.9982984506498859,0.9390145493636992
RFR,32,3,2.322585912338718,6.310718767218594,0.998317447662975,0.9853835250561361
RFR,32,4,2.560333005168213,5.262305148715682,0.9979615190958006,0.9896478589022746
RFR,32,5,2.5222358155456233,5.175290789789143,0.9979681358643289,0.9911472819794668
GBR,32,1,5.145655714518403,7.122186719915829,0.9915441929592335,0.9832294158996296
GBR,32,2,5.234244914424501,19.99835059567683,0.9904351933576402,0.9017528287207381
GBR,32,3,5.053363433753078,8.450420589247353,0.9920349946087905,0.9737915315253245
GBR,32,4,5.105668745004033,6.6361516300374985,0.9918937684142736,0.983536933679378
GBR,32,5,5.353923340530007,7.005823798580643,0.9908448052937503,0.9837772103217062
BRT,32,1,4.6359184071512125,6.168942822330031,0.9931365072194189,0.9874181944694009
